Yr,Lg,Series,,,Team,W,,Team,W,,Favorite,Underdog
1979,NBA,Western Conf Semifinals,Apr 17 - Apr 27 1979,,Phoenix Suns (3),4,,Kansas City Kings (2),1,,,
1979,NBA,Western Conf Semifinals,Apr 17 - Apr 25 1979,,Seattle SuperSonics (1),4,,Los Angeles Lakers (5),1,,,
1979,NBA,Eastern Conf Finals,May 4 - May 18 1979,,Washington Bullets (1),4,,San Antonio Spurs (2),3,,,
1979,NBA,Western Conf Finals,May 1 - May 17 1979,,Seattle SuperSonics (1),4,,Phoenix Suns (3),3,,,
1979,NBA,Finals,May 20 - Jun 1 1979,,Seattle SuperSonics (1),4,,Washington Bullets (1),1,,,
1978,NBA,Eastern Conf First Round,Apr 12 - Apr 14 1978,,New York Knicks (5),2,,Cleveland Cavaliers (4),0,,,
1978,NBA,Eastern Conf First Round,Apr 12 - Apr 14 1978,,Washington Bullets (3),2,,Atlanta Hawks (6),0,,,
1978,NBA,Western Conf First Round,Apr 11 - Apr 14 1978,,Milwaukee Bucks (6),2,,Phoenix Suns (3),0,,,
1978,NBA,Western Conf First Round,Apr 12 - Apr 16 1978,,Seattle SuperSonics (4),2,,Los Angeles Lakers (5),1,,,
1978,NBA,Eastern Conf Semifinals,Apr 16 - Apr 23 1978,,Philadelphia 76ers (1),4,,New York Knicks (5),0,,,
1978,NBA,Eastern Conf Semifinals,Apr 16 - Apr 28 1978,,Washington Bullets (3),4,,San Antonio Spurs (2),2,,,
1978,NBA,Western Conf Semifinals,Apr 18 - May 3 1978,,Denver Nuggets (2),4,,Milwaukee Bucks (6),3,,,
1978,NBA,Western Conf Semifinals,Apr 18 - May 1 1978,,Seattle SuperSonics (4),4,,Portland Trail Blazers (1),2,,,
1978,NBA,Eastern Conf Finals,Apr 30 - May 12 1978,,Washington Bullets (3),4,,Philadelphia 76ers (1),2,,,
1978,NBA,Western Conf Finals,May 5 - May 17 1978,,Seattle SuperSonics (4),4,,Denver Nuggets (2),2,,,
1978,NBA,Finals,May 21 - Jun 7 1978,,Washington Bullets (3),4,,Seattle SuperSonics (4),3,,,
1977,NBA,Eastern Conf First Round,Apr 12 - Apr 15 1977,,Boston Celtics (4),2,,San Antonio Spurs (5),0,,,
1977,NBA,Eastern Conf First Round,Apr 13 - Apr 17 1977,,Washington Bullets (3),2,,Cleveland Cavaliers (6),1,,,
1977,NBA,Western Conf First Round,Apr 12 - Apr 17 1977,,Golden State Warriors (4),2,,Detroit Pistons (5),1,,,
1977,NBA,Western Conf First Round,Apr 12 - Apr 17 1977,,Portland Trail Blazers (3),2,,Chicago Bulls (6),1,,,
1977,NBA,Eastern Conf Semifinals,Apr 19 - May 1 1977,,Houston Rockets (2),4,,Washington Bullets (3),2,,,
1977,NBA,Eastern Conf Semifinals,Apr 17 - May 1 1977,,Philadelphia 76ers (1),4,,Boston Celtics (4),3,,,
1977,NBA,Western Conf Semifinals,Apr 20 - May 4 1977,,Los Angeles Lakers (1),4,,Golden State Warriors (4),3,,,
1977,NBA,Western Conf Semifinals,Apr 20 - May 2 1977,,Portland Trail Blazers (3),4,,Denver Nuggets (2),2,,,
1977,NBA,Eastern Conf Finals,May 5 - May 17 1977,,Philadelphia 76ers (1),4,,Houston Rockets (2),2,,,
1977,NBA,Western Conf Finals,May 6 - May 13 1977,,Portland Trail Blazers (3),4,,Los Angeles Lakers (1),0,,,
1977,NBA,Finals,May 22 - Jun 5 1977,,Portland Trail Blazers (3),4,,Philadelphia 76ers (1),2,,,
1976,NBA,Eastern Conf First Round,Apr 15 - Apr 18 1976,,Buffalo Braves (5),2,,Philadelphia 76ers (4),1,,,
1976,NBA,Western Conf First Round,Apr 13 - Apr 18 1976,,Detroit Pistons (5),2,,Milwaukee Bucks (4),1,,,
1976,NBA,Eastern Conf Semifinals,Apr 21 - May 2 1976,,Boston Celtics (1),4,,Buffalo Braves (5),2,,,
1976,NBA,Eastern Conf Semifinals,Apr 13 - Apr 29 1976,,Cleveland Cavaliers (2),4,,Washington Bullets (3),3,,,
1976,NBA,Western Conf Semifinals,Apr 20 - Apr 30 1976,,Golden State Warriors (1),4,,Detroit Pistons (5),2,,,
1976,NBA,Western Conf Semifinals,Apr 13 - Apr 27 1976,,Phoenix Suns (3),4,,Seattle SuperSonics (2),2,,,
1976,NBA,Eastern Conf Finals,May 6 - May 18 1976,,Boston Celtics (1),4,,Cleveland Cavaliers (2),2,,,
1976,NBA,Western Conf Finals,May 2 - May 16 1976,,Phoenix Suns (3),4,,Golden State Warriors (1),3,,,
1976,NBA,Finals,May 23 - Jun 6 1976,,Boston Celtics (1),4,,Phoenix Suns (3),2,,,
1976,ABA,First Round,Apr 8 - Apr 12 1976,,Kentucky Colonels (4),2,,Indiana Pacers (5),1,,,
1976,ABA,Semifinals,Apr 15 - Apr 28 1976,,Denver Nuggets (1),4,,Kentucky Colonels (4),3,,,
1976,ABA,Semifinals,Apr 9 - Apr 24 1976,,New York Nets (2),4,,San Antonio Spurs (3),3,,,
1976,ABA,Finals,May 1 - May 13 1976,,New York Nets (2),4,,Denver Nuggets (1),2,,,
1975,NBA,Eastern Conf First Round,Apr 8 - Apr 12 1975,,Houston Rockets (4),2,,New York Knicks (5),1,,,
1975,NBA,Western Conf First Round,Apr 8 - Apr 12 1975,,Seattle SuperSonics (4),2,,Detroit Pistons (5),1,,,
1975,NBA,Eastern Conf Semifinals,Apr 14 - Apr 24 1975,,Boston Celtics (1),4,,Houston Rockets (4),1,,,
1975,NBA,Eastern Conf Semifinals,Apr 10 - Apr 25 1975,,Washington Bullets (2),4,,Buffalo Braves (3),3,,,
1975,NBA,Western Conf Semifinals,Apr 9 - Apr 23 1975,,Chicago Bulls (2),4,,Kansas City-Omaha Kings (3),2,,,
1975,NBA,Western Conf Semifinals,Apr 14 - Apr 24 1975,,Golden State Warriors (1),4,,Seattle SuperSonics (4),2,,,
1975,NBA,Eastern Conf Finals,Apr 27 - May 11 1975,,Washington Bullets (2),4,,Boston Celtics (1),2,,,
1975,NBA,Western Conf Finals,Apr 27 - May 14 1975,,Golden State Warriors (1),4,,Chicago Bulls (2),3,,,
1975,NBA,Finals,May 18 - May 25 1975,,Golden State Warriors (1),4,,Washington Bullets (2),0,,,
1975,ABA,Eastern Div Tiebreak,Apr 4 - Apr 4 1975,,Kentucky Colonels,1,,New York Nets,0,,,
1975,ABA,Eastern Div Semifinals,Apr 6 - Apr 13 1975,,Kentucky Colonels (1),4,,Memphis Sounds (4),1,,,
1975,ABA,Eastern Div Semifinals,Apr 6 - Apr 15 1975,,Spirits of St. Louis (3),4,,New York Nets (2),1,,,
1975,ABA,Western Div Semifinals,Apr 6 - Apr 14 1975,,Denver Nuggets (1),4,,Utah Stars (4),2,,,
1975,ABA,Western Div Semifinals,Apr 5 - Apr 16 1975,,Indiana Pacers (3),4,,San Antonio Spurs (2),2,,,
1975,ABA,Eastern Div Finals,Apr 21 - Apr 28 1975,,Kentucky Colonels (1),4,,Spirits of St. Louis (3),1,,,
1975,ABA,Western Div Finals,Apr 20 - May 3 1975,,Indiana Pacers (3),4,,Denver Nuggets (1),3,,,
1975,ABA,Finals,May 13 - May 22 1975,,Kentucky Colonels (1),4,,Indiana Pacers (3),1,,,
1974,NBA,Eastern Conf Semifinals,Mar 30 - Apr 12 1974,,Boston Celtics (1),4,,Buffalo Braves (4),2,,,
1974,NBA,Eastern Conf Semifinals,Mar 29 - Apr 12 1974,,New York Knicks (2),4,,Capital Bullets (3),3,,,
1974,NBA,Western Conf Semifinals,Mar 30 - Apr 13 1974,,Chicago Bulls (2),4,,Detroit Pistons (3),3,,,
1974,NBA,Western Conf Semifinals,Mar 29 - Apr 7 1974,,Milwaukee Bucks (1),4,,Los Angeles Lakers (4),1,,,
1974,NBA,Eastern Conf Finals,Apr 14 - Apr 24 1974,,Boston Celtics (1),4,,New York Knicks (2),1,,,
1974,NBA,Western Conf Finals,Apr 16 - Apr 22 1974,,Milwaukee Bucks (1),4,,Chicago Bulls (2),0,,,
1974,NBA,Finals,Apr 28 - May 12 1974,,Boston Celtics (1),4,,Milwaukee Bucks (1),3,,,
1974,ABA,Western Div Tiebreak,Mar 29 - Mar 29 1974,,San Diego Conquistadors,1,,Denver Rockets,0,,,
1974,ABA,Eastern Div Semifinals,Apr 1 - Apr 8 1974,,Kentucky Colonels (2),4,,Carolina Cougars (3),0,,,
1974,ABA,Eastern Div Semifinals,Mar 29 - Apr 8 1974,,New York Nets (1),4,,Virginia Squires (4),1,,,
1974,ABA,Western Div Semifinals,Mar 30 - Apr 12 1974,,Indiana Pacers (2),4,,San Antonio Spurs (3),3,,,
1974,ABA,Western Div Semifinals,Mar 30 - Apr 8 1974,,Utah Stars (1),4,,San Diego Conquistadors (4),2,,,
1974,ABA,Eastern Div Finals,Apr 13 - Apr 20 1974,,New York Nets (1),4,,Kentucky Colonels (2),0,,,
1974,ABA,Western Div Finals,Apr 13 - Apr 27 1974,,Utah Stars (1),4,,Indiana Pacers (2),3,,,
1974,ABA,Finals,Apr 30 - May 10 1974,,New York Nets (1),4,,Utah Stars (1),1,,,
